X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-3.80224999999996,53.3228833000001,155,Llandudno,ALB/ILB,Conwy,WalesAndWest,Wales & North West,GBR,WalesAndWest,30,53.3228833,-3.80225,https://rnli.org/find-my-nearest/lifeboat-stations/llandudno-lifeboat-station
-3.04726399999993,53.4394590000001,156,New Brighton,ILB,Merseyside,WalesAndWest,Wales & North West,GBR,WalesAndWest,45,53.43945313,-3.04727411,https://rnli.org/find-my-nearest/lifeboat-stations/new-brighton-lifeboat-station
-3.48899999999998,53.3251000000001,157,Rhyl,ALB/ILB,Denbighshire,WalesAndWest,Wales & North West,GBR,WalesAndWest,30,53.32505035,-3.48888612,https://rnli.org/find-my-nearest/lifeboat-stations/rhyl-lifeboat-station
-3.18269999999995,53.3659000000001,158,West Kirby,ILB,Merseyside,WalesAndWest,Wales & North West,GBR,WalesAndWest,45,53.36605835,-3.18234396,https://rnli.org/find-my-nearest/lifeboat-stations/west-kirby-lifeboat-station
-3.17329205199997,54.0724058860001,159,Barrow,ALB/ILB,Cumbria,WalesAndWest,Wales & North West,GBR,WalesAndWest,31,54.07250977,-3.17332697,https://rnli.org/find-my-nearest/lifeboat-stations/barrow-lifeboat-station
-3.05609999999996,53.8133,160,Blackpool,ILB,Lancashire,WalesAndWest,Wales & North West,GBR,WalesAndWest,31,53.81344223,-3.05609798,https://rnli.org/find-my-nearest/lifeboat-stations/blackpool-lifeboat-station
-3.00644174899998,53.927750562,161,Fleetwood,ALB/ILB,Lancashire,WalesAndWest,Wales & North West,GBR,WalesAndWest,31,53.92775726,-3.006531,https://rnli.org/find-my-nearest/lifeboat-stations/fleetwood-lifeboat-station
-3.03268871599994,53.746724069,162,Lytham St Annes,ALB/ILB,Lancashire,WalesAndWest,West & North West,GBR,WalesAndWest,31,53.7467,-3.0326,https://rnli.org/find-my-nearest/lifeboat-stations/lytham-st-annes-lifeboat-station
-2.86359999999996,54.0751000000001,163,Morecambe,ILB,Lancashire,WalesAndWest,Wales & North West,GBR,WalesAndWest,31,54.07511139,-2.86361194,https://rnli.org/find-my-nearest/lifeboat-stations/morecambe-lifeboat-station
-3.39322347699994,54.8700507410001,164,Silloth,ILB,Cumbria,WalesAndWest,North & Scot South,GBR,WalesAndWest,31,54.87001801,-3.39316606,https://rnli.org/find-my-nearest/lifeboat-stations/silloth-lifeboat-station
